T:name: union pizza works loc:the rookery, tweet: 674787667784114177  :  im at union pizza works in brooklyn ny @link (40.70735835,-73.92235071)82124534
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 674793653144039425  :  surreal #nightatthemuseum @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)24079277
T:name: waldorf astoria loc:sir harry's, tweet: 674802204138717184  :  happy bday to my brother @shafferdc #weturningup @ waldorf astoria new york @link (40.75652616,-73.97354189)457696477
T:name: empire hotel rooftop loc:starbucks coffee, tweet: 674804298245644288  :  im at the empire hotel rooftop  @empirerooftop in new york ny @link (40.77134233,-73.98271948)107222738
T:name: waldorf astoria loc:sir harry's, tweet: 674809690044432384  :  going to get my  good night  #nyc #sweetdreams #mrscharlier @ waldorf astoria new york @link (40.75652616,-73.97354189)292108720
T:name: the lambs club loc:jimmy's corner, tweet: 674818005663002624  :  hello louise pommeryusa @pommeryofficial 2002 @thelambsclub @ the lambs club @link (40.75656554,-73.98468519)634831191
T:name: boilermaker loc:bluebird coffee shop, tweet: 674834788591775745  :  #sippinsantasurfshack at boilermakernyc in full effect w gilbouhana holliebrynn @link (40.7234802,-73.9886322)301539443
T:name: pianos loc:bisous, ciao., tweet: 674843280148930560  :  slow life at @pianosnyc in new york ny @link (40.72111085,-73.98786106)62776004
T:name: dear irving loc:adalya, tweet: 674846968926052352  :  im at dear irving in new york ny @link (40.73611443,-73.98744211)36997270
T:name: waldorf astoria loc:sir harry's, tweet: 674898737580273665  :  the waldorfastoria @ waldorf astoria new york @link (40.75652616,-73.97354189)393111194
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 674909001000218624  :  cool thing at the met lots and lots of tiffany stained glass @ the metropolitan museum of art @link (40.77912965,-73.96297384)19527137
T:name: tender trap loc:paulie gee, tweet: 674947850397212672  :  @link breaks #nelloluchi @ tender trap @link (40.72960361,-73.95845398)233595369
T:name: sant ambroeus loc:extra virgin, tweet: 674955343206752257  :  post @refinemethod fuel ????#coffeecoffeecoffee #westvillagelife #santambroeus @ sant ambroeus @link (40.7354012,-74.0031433)19930723
T:name: t 45 loc:red moon, tweet: 674963130267639808  :  the free hot apple cider is to die for (@ t45 in new york ny @link (40.757355,-73.9843)15739979
T:name: blue bottle coffee loc:ample hills creamery, tweet: 674963937805266944  :  good morning ny #streetdreamsmag #coffee #bluebottlecoffee #moodygrams #shootityourself… @link (40.7623367,-73.9970169)65756527
T:name: uno chicago grill loc:east 86 cinemas, tweet: 674987195862818816  :  im at uno pizzeria  grill  new york  @unochicagogrill in new york ny @link (40.77836415,-73.95343781)40368163
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 674998633742270464  :  just posted a photo @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)2227983184
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675004037666897921  :  btw the shirt im wearing today  @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)2573874602
T:name: fuku loc:tarallucci e vino, tweet: 675009714774654976  :  just posted a photo @ fuku @link (40.7290001,-73.9846725)291700483
T:name: waldorf astoria loc:sir harry's, tweet: 675012464417837056  :  #ny #limcollege #art #drawing #pictures #fashion @ waldorf astoria new york @link (40.75652616,-73.97354189)488090440
T:name: essex loc:shopsins general store (store #16), tweet: 675013821476569089  :  tis the season #tamale #time at pueblas new location inside essexstreetmarket  @ essex @link (40.7193413,-73.9876022)42118048
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675014049210478592  :  missing file poo @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)29926486
T:name: culture espresso loc:pier 79/ny waterway seattle cafe, tweet: 675016508771299328  :  im at culture espresso in new york ny @link (40.75228555,-73.98580075)188527257
T:name: spicy shallot loc:khao kang, tweet: 675019992518234112  :  thai day @ spicy shallot nyc @link (40.7437057,-73.8878326)38747641
T:name: untamed sandwiches loc:appetito restaurant, tweet: 675021210678337536  :  im at untamed sandwiches  @untamedsandwich in new york ny @link (40.75259136,-73.98458406)188527257
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675024044425539586  :  first stop @metmuseum  #nyc @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)137565439
T:name: refinery rooftop loc:lan sheng restaurant szechuan food, tweet: 675024783910658048  :  dont mind if i do #rooftop #lunch #nyc @ refinery rooftop @link (40.7523804,-73.9851913)28243893
T:name: dudleys loc:casa mezcal, tweet: 675025480576319488  :  big city big strides @ dudleys nyc @link (40.71810152,-73.99028333)38401894
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675028831187697664  :   @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)196302527
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675029018199121920  :   @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)196302527
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675029381715238912  :  just posted a photo @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)196302527
T:name: big booty bread loc:rin thai cuisine, tweet: 675029713773957120  :  bigbootybakery  yummy @ big booty bread company @link (40.7451515,-73.9977722)280662658
T:name: indikitch loc:ivy, tweet: 675031606034309121  :  im at @indikitch in new york ny @link @link (40.765819,-73.983354)5466992
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675032028727943174  :  huh this us noice @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)52046697
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675034375046742016  :  me atm @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)795789
T:name: skylight diner loc:golden city chinese restaurant, tweet: 675035796664135680  :  im at skylight diner in new york ny w @juhaendchen @link (40.75341407,-73.99658414)69759237
T:name: by chloe loc:the coffee bean tea & leaf, tweet: 675035902125699073  :  the closest i feel to home being away (@ by chloe  @bychefchloe in new york ny @link (40.72915196,-74.00114065)129120380
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675038276479225857  :  lotus and chill @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)795789
M:name: metropolitan museum of art loc:members dining room @ the met museum, tweet: 675040458029010944  :  xoxo #almypal @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)193044735
T:name: sant ambroeus loc:extra virgin, tweet: 675044378302390272  :  feet @ sant ambroeus west village @link (40.7354012,-74.0031433)2213296180
T:name: indikitch loc:ivy, tweet: 675046759895289857  :  im at @indikitch in new york ny @link (40.765819,-73.983354)35940413
