name: bxl cafe loc:heartland brewery, tweet: 674365775021522945  :  preshow brews at @bxlcafe in new york ny @link (40.75608789,-73.98485954)17698746
name: plant love house loc:asian taste 86, tweet: 674366637064232961  :  so were just gunna be thai today at @plantlovehouse in elmhurst ny w @diosoglenn) @link (40.74189112,-73.87873185)163977987
name: spicy village loc:mei's coffee & bakery, tweet: 674368387364077568  :  waiting and waiting (@ spicy village ???  @spicyvillageny in new york ny @link (40.716989,-73.993426)16968765
name: metropolitan museum of art loc:metropolitan museum balcony lounge, tweet: 674372377313157120  :  astor court #metmuseum @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)21272564
name: koko wings loc:macchina, tweet: 674373439990464518  :  feeding the beast my stomach at @kokowings in new york ny @link (40.80098739,-73.96749801)30254828
name: the manhattan at times square loc:ellen's stardust diner, tweet: 674374128229605377  :   (@ the manhattan at times square hotel  @mtshotel in new york ny @link (40.76185347,-73.98313522)368556834
name: the triad loc:soom soom, tweet: 674374700840169472  :  and gala with honoree janice goldberg (@ the triad in new york ny @link @link (40.77819151,-73.98106022)775489
name: studio 9c loc:dunkin' donuts, tweet: 674376195891425280  :  #nbcu corporate communications holiday party (@ studio 9c  nbcuniversal in new york ny @link (40.75895285,-73.97909167)19057138
name: studio 9c loc:liberty deli, tweet: 674380802113802240  :  holiday partying (@ studio 9c  nbcuniversal in new york ny @link (40.75895285,-73.97909167)784665217
name: reserve cut loc:crumbs bake shop, tweet: 674383685425061889  :  im at @reservecut in new york ny @link @link (40.70602646,-74.01177049)2329188432
name: new flushing bakery loc:yummy dim sum, tweet: 674384361421201409  :  im at new flushing bakery in flushing ny @link (40.75940012,-73.8304797)307583108
name: dominies loc:ramen & yakitori, tweet: 674387722266611712  :  craft night dominiesastoria beer  scissors what could go wrong #dominies #dominiesastoria… @link (40.7656934,-73.91872224)2398163226
name: the grey dog loc:cafe blossom, tweet: 674389035662446592  :  couples dinner #yesughgross (@ the grey dog in new york ny w @kylelynah) @link @link (40.729834,-74.004012)18394380
name: spyglass loc:fabrick by david burke, tweet: 674389843489746944  :  #spyglass #archerhotel #archer @ archer hotel new york @link (40.7520485,-73.9847336)55970770
name: westville loc:city cakes, tweet: 674392405798424576  :  im at westville chelsea in new york ny @link (40.74204,-73.99999)26372174
name: byblos loc:dunkin' donuts, tweet: 674392715509891072  :  end of the long day bubbly is the must #prosecco #bubbles #cheers #nyc #trip @ byblos restaurant nyc @link (40.7442703,-73.9858475)40172378
name: byblos loc:dunkin' donuts, tweet: 674394345404018689  :  end of long day bubbly is a must #presecco #bubbles #nyc #trip @ byblos restaurant nyc @link (40.7442703,-73.9858475)40172378
name: waldorf astoria loc:waldorf astoria hotel, tweet: 674394790901977088  :  got to hang with coach tressel today  @ waldorf astoria new york @link (40.75652616,-73.97354189)2471582838
name: jackbar loc:little choc apothecary, tweet: 674395458672922624  :  im at jackbar in brooklyn ny @link (40.711873,-73.957187)47875656
name: viv loc:viv restaurant, tweet: 674397494235787264  :  drinks then dinner (@ viv thai in new york ny @link (40.76284729,-73.98969179)83470741
name: ivan ramen loc:brunswick, tweet: 674397769885458432  :  hard core research session at #ivanramen in #nyc; key takeaways #crazy, #crazy, #crazy… @link (40.720604,-73.98454934)3378775143
name: ivan ramen loc:brunswick, tweet: 674399251259113472  :  hardcore research at #ivanramen in #nyc. key takeaways #crazy, #crazy, #crazy good #food… @link (40.720604,-73.98454934)3378775143
name: metropolitan museum of art loc:metropolitan museum employee cafeteria, tweet: 674401676669952000  :  nyc with the bros the other day @ the metropolitan museum of art new york @link (40.77912965,-73.96297384)757718364
name: terra loc:gotan, tweet: 674402406646611968  :  im at terra in new york ny @link (40.719077,-74.006568)20802652
name: el aguila loc:the lexington social, tweet: 674403781782675457  :  im at el aguila in new york ny @link (40.79038911,-73.94772404)1526365837
name: buvette loc:l'aile ou la cuisse (l'a.o.c), tweet: 674405938812592129  :  im at buvette  @ilovebuvette in new york ny @link (40.73272229,-74.0041852)99586796
name: houston hall loc:arbor bistro, tweet: 674408558084145152  :  im at houston hall in new york ny @link (40.72867347,-74.00473773)39554674
