jacob's pickles;1;4;31.6;0.16666666666666666
joe;2;12;29.5;0.043478260869565216
dishes;3;8;26.25;0.08333333333333333
legend;4;8;23.5;0.08333333333333333
princess;5;11;19.0;0.05263157894736842
wonderful;6;15;17.666666666666668;0.03333333333333333
dishes;7;8;16.75;0.08333333333333333
stk;8;9;15.5;0.0625
bar nine;8;1;15.5;0.5
island;9;18;15.0;0.00641025641025641
starbucks coffee;10;17;14.0;0.013697854757457408
just salad;11;19;13.75;0.005235602094240838
almond;12;3;13.0;0.25
dishes;13;8;12.25;0.08333333333333333
spring;14;10;11.333333333333334;0.05555555555555555
mcdonald's;15;7;11.0;0.09523809523809523
1 oak;16;13;10.0;0.038461538461538464
aurora;17;1;9.5;0.5
juice;18;5;7.0;0.11764705882352941
talent;18;6;7.0;0.1111111111111111
ben & jerry's;19;20;4.0;0.002631578947368421
joe;20;14;3.0;0.03448275862068965
joe;21;14;2.0;0.03448275862068965
mi garba;21;2;2.0;0.3333333333333333
cream;22;16;0.0;0.023255813953488372
