crab shanty;668625922539569152;#dinner @ The Original Crab Shanty https://t.co/byM6GVtqMC;true;
happy bones nyc;669531605694816256;Coffee break ?? #happybones #nyc @ Happy Bones NYC https://t.co/To3RZP8n5Y;true;
happy bones nyc;669569633154965504;@HappyBonesNYC hey crew. Are you guys open tomorrow at all? Happy hols;false;
happy bones nyc;668845078581010433;Starting the week with a flat white ?? @ Happy Bones NYC https://t.co/m5Vna0qQ6N;true;
excelsior;668179650229764096;@Excelsior en México no se respeta ni al peatón ni al ciclista,  no existe una educación vial apropiada ni ciudadana. Cede el paso.;false;
gallow green;668296500783538176;Happy Birthday, Liza! @ The Lodge At Gallow Green https://t.co/AZ5as6pxGG;true;
kasike mofongo house;668255344469127169;Lo Vemo Esta Noche #live @tuvaronrd El Criollo & Kasike Mofongo House - chicomambo01 #concert… https://t.co/8SuKAT8eiE;true;
kasike mofongo house;667969276679065600;At @djgavylannyc  @leslymusic  @djsmiles_  @djchocomambo @ kasike mofongo house (official website) https://t.co/FPAMr65LjI;true;
kasike mofongo house;668580900603633665;Anoche @tuvaronrd En El Criollo Lounge NJ & Kasike Mofongo House BX, Casa Llena ????????? #instavideo… https://t.co/jaynyVEKVg;true;
kasike mofongo house;668360861598248960;Mode #workin Now #live @tuvaronrd En Kasike Mofongo House - Full Full #concert #newyorkcity #bachata… https://t.co/lrkT9TBArx;true;
kasike mofongo house;670152591242756098;Cerrandooo thanksgiving ???? con mis papis chulos elfigui #Buda!! @ kasike mofongo house (official… https://t.co/oU8pkBFUdX;true;
kasike mofongo house;669594624831393794;TONIGHT! #ThanksGivingEve #Kasike ??????? @ kasike mofongo house (official website) https://t.co/auaE6OQHq9;true;
kasike mofongo house;668286091858833408;? @ kasike mofongo house (official website) https://t.co/Tu4zkBcMoJ;true;
kasike mofongo house;667968164890677248;At @djgavylannyc  con mis amigos @djsmiles_  @djchocomambo @ kasike mofongo house (official website) https://t.co/AD3EvFHEAa;true;
wolfgang's steakhouse;669310972713152512;#bigballin #myninja #hiphop #hiphopculture  #steak!!! #wolfgangs @ Wolfgang's Steakhouse - Times… https://t.co/4MrK2IbktK;true;
wolfgang's steakhouse;669984919477755905;Thankful for good food with the fan <3 (@ Wolfgang's Steakhouse - @wolfgangssteakh in New York, NY) https://t.co/4AeuC3GHH1;true;
wolfgang's steakhouse;668288462282330114;100% USDA Approved ??#foodie #foodporn #nyc @ Wolfgang's Steakhouse https://t.co/2AQz8NGjXX;true;
wolfgang's steakhouse;668230508791377920;dont be stingy with that viginegine ok, thank you ?? @ Wolfgang's Steakhouse https://t.co/oDeG8ey0r0;true;
meow parlour;667516400181911552;#tbt @meowparlour goodies ? @ Meow Parlour https://t.co/XyhSEBA5zh;true;
meow parlour;668967513653452800;Yes! @MeowParlour is my greatest discovery since moving to New York <3 https://t.co/yOrx80bRc1;false;
meow parlour;669729908034138112;Just posted a photo @ Meow Parlour https://t.co/ROAVLGzsyK;true;
meow parlour;668166157703118848;Just chillin @meowparlour with these cute kitty's. #curiouskittys #goodidea #nyc @ Meow Parlour https://t.co/d2MCTp7vFh;true;
meow parlour;668994825878904832;@vvgomes @MeowParlour We can go the next time you visit the city!;false;
meow parlour;668558272945745920;So wonderful to visit @meowparlour today! Coffee, kitty-themed treats and adorable adoptable cats… https://t.co/J0NTlQMsXe;true;
gaslight;669283400247848962;Just posted a photo @ Gaslight Pizzeria https://t.co/vVydgFhcJV;true;
gaslight;669733629053018112;I'm at Gaslight Lounge - @gaslight400 in New York, NY https://t.co/sMvYZYexpE;true;
gaslight;667886801823080448;Guys, Beach Slang kinda sounds like Gaslight Anthem;false;
gaslight;668099116237369345;As if you need another reason to come to keg and lantern today. Another new beer! Gaslight Black… https://t.co/SJmbi6Npdt;true;
sweatshop;668136265703890944;Morning Flat White @ Sweatshop https://t.co/ek4LVrrzZh;true;
sweatshop;667466919226667008;Jams with @guevremonster_ @ The Sweatshop https://t.co/nCFHTV3q8N;true;
sweatshop;669564573947715585;I have a bread cutting/drying out/baking for stuffing sweatshop going on in here, but I'm the only worker. Doh.;false;
mezquite;668284409317953537;Happy Birthday Fabiola! @ Mezquite Restaurant https://t.co/ozeEZjvM2s;true;
mezquite;669625734793715712;I'm at Mezquite in Astoria, NY w/ @kathrynxjoy https://t.co/hBwXgpMQJV;true;
t.g.i. friday's;668291066081226752;judging. @ T.G.I. Friday's https://t.co/yqgbzV4CIV;true;
prime meats;669600057348501504;Lots of fun magnum BTG pours tomorrow @PrimeMeats for #Thanksgiving - come stop @ the bar for a glass! https://t.co/rWggoikgah;false;
prime meats;670018899153428480;Happy Thanksgiving! (at @PrimeMeats in Brooklyn, NY) https://t.co/JwhtkuL1tA;true;
prime meats;667879989518422016;Stop 2. Beer and mocktail - Drinking a Milk Stout Nitro by @LeftHandBrewing at @primemeats  — https://t.co/JDQ3ljX6lr #photo;true;
prime meats;667843639805104128;Afternoon treats in #Brooklyn @ Prime Meats https://t.co/MupkobQLUX;true;
prime meats;668187793722580992;Not blurry. Mags of '13 Mee Godard Morgon Corcelette BTG @PrimeMeats tonight! Get at it. https://t.co/1x1guYPwG5;false;
prime meats;670049779389435904;Our first thanksgiving at a restaurant, just us ???? @ Prime Meats https://t.co/EAYiX4UGKh;true;
prime meats;669928973212721153;How new #moms make turkey.... #happythanksgiving! ? @ Prime Meats https://t.co/emh6jOKvbU;true;
azalea;669999298885627905;There's a dog here named Piggy Azalea and I've lost all hope.;false;
azalea;670054232398020608;Another Family Tradition... AZALEA restaurant ?????? @ Azalea Ristorante https://t.co/him2rLMAQF;true;
azalea;667525564471857152;"I love Molly. It makes me feel so skinny." - guy in front of me at Azalea Banks;false;
john's pizza;670127446247669760;@daryldunn1 @jdharm @bronk @jonhein john's pizza on bleker in the village & also john's pizza n the theater - only pies but some of the best;false;
diamond dogs;669713793270853632;I'm at Diamond Dogs in Astoria, NY https://t.co/XhICCJc40B;true;
diamond dogs;668565809954967552;I'm at Diamond Dogs in Astoria, NY https://t.co/AdIz2lwA6s;true;
carlo's bakery;668194474921730048;próximo destino: CARLO'S BAKERY hehehe;false;
carlo's bakery;668665325932511233;Red velvet cupcake from Carlo's Bakery aka the Cake Boss!! Omg was so… https://t.co/ENO2oS4aUd;true;
carlo's bakery;668484434677637120;@carlos_philly #bodyvalastro #likeforlike #timessquare #newyork #nice @ Carlo's Bakery Times Square https://t.co/gSfJwhbWWQ;true;
carlo's bakery;668222095487205376;Just posted a photo @ Carlo's Bakery Times Square https://t.co/m6ZdBxwqgB;true;
carlo's bakery;668265835979546624;comendo guloseimas da Carlo's Bakery haha...;false;
carlo's bakery;669993723015667712;#cakeboss #newyork @ Carlo's Bakery Times Square https://t.co/iQSuc7XATY;true;
bleu beauty bar;667585773206679553;Thank you @edisonapple for my glam and thank you @bleubeautybar for treating us so nice while we got… https://t.co/BYeBICuT01;true;
avant garden;667906170187874304;Holy shiitake.This restaurant is a game changer. Would go here everyday if I could. #AvantGarden #hankypankyfriday https://t.co/DCRAy2OVzp;false;
avant garden;668662840472006656;"I'm an avant garden Lord Farquaad." - @RhymezBusty;false;
golden theatre;668535012367581185;sunday + funday #thegingame #startconnecting @ John Golden Theatre https://t.co/vM6vzSBRu8;true;
golden theatre;667871713242271744;I'm at John Golden Theatre - @telecharge in New York, NY https://t.co/nkOqZJBvQI;true;
golden theatre;667886757342371840;???Current situation with @hiphopsocialite. #TheGinGame on Broadway at the Golden Theatre starring… https://t.co/8FCEvEQOkh;true;
golden theatre;668517813699665922;Cecily Tyson + James Earl Jones #TheGinGame (@ John Golden Theatre - @telecharge in New York, NY) https://t.co/sXqYXiOyB2;true;
golden theatre;667491851826524161;The Gin Game (@ John Golden Theatre - @telecharge in New York, NY) https://t.co/55H03KdoJD https://t.co/imO1ngJWkL;true;
tlv;668233140402524160;I'm at TLV Mediterranean Resto-Bar and Lounge in New York, NY https://t.co/Ry8myRgwiJ;true;
giando;668422874353557504;We be up all night in the city that never sleeps? @ Giando On The Water https://t.co/ZrXL2WJW2B;true;
169 bar;668273851407581184;The #les don't play! #NYC  #lowereastsidenyc #lowereastside #ny #prison #poopingprison @ 169 Bar https://t.co/j21lt6I3uc;true;
169 bar;668167891460591616;#redwine and #absinthe #les #NYC @ 169 Bar https://t.co/SS6vIfmCmx;true;
169 bar;668220280872017920;Excited to hear the @thedardys play skate night at @leftfieldbar @ 169 Bar https://t.co/Edmoyyb7jG;true;
169 bar;667958680923557888;Feliz cumple bóludoooo (@ 169 Bar in New York, NY) https://t.co/XPZBWbEEnS;true;
ubs;667389989060255744;"The market is still digesting the minutes of the Fed from yesterday” -David Lefkowitz, UBS Wealth Mgmt Americas.https://t.co/dFTpl6C3kK;false;
ubs;667508190536466432;I buy all these fucking shoes and only ever wear white UBs and TD 350s;false;
oxido;667816150718242816;#Mexican #lunch oxidonyc #comingsoon @servedbystadium #nyceats #nycprimeshot @ Óxido https://t.co/TFLiwKzU57;true;
oxido;667815907259879425;Make it dirty play on chili and nachos. oxidonyc #delivery #Mexican #festival @servedbystadium @ Óxido https://t.co/V2X1pe43eI;true;
oxido;667818226508697600;#riceandbeans oxidonyc #mexican #flavorsaver @servedbystadium @ Óxido https://t.co/jeyT5yI7PE;true;
oxido;667817244047507458;#tacos #nyceats #comingsoon #Mexican @servedbystadium via oxidonyc @ Óxido https://t.co/7iQT242Ddz;true;
wildair;669250842474614784;Little gem lettuces and beans @ Wildair https://t.co/8g1PyotOO6;true;
judy & punch;668618534839312385;I'm at Judy & Punch - @judyandpunchnyc in Astoria, NY https://t.co/3TSGYqjJo5;true;
pax;668884987203231744;tech deck'd a pax this weekend;false;
pax;668004068133117952;All I want for Christmas is a Pax vape pen ?;false;
pax;667400837816299520;Bloody hell. Same situation as last year. Only Friday and Sunday PAX East badges availible. Welp, time to scrounge around for Saturday;false;
pax;670038141391212544;Full moon pax for sure on that flight... I'm thankful to be off the plane, at @MollysMilesFA apt, with a glass of wine in hand.;false;
pax;668805572561666048;You can always tell when there's a late pax for a flt by the tone the gate agents use when annoucing final boarding. #crewlife;false;
pax;669937630340083712;Finally breakfast (@ PAX Wholesome Foods - @paxfood in New York, NY) https://t.co/chQX34KV9d;true;
pax;669925824494219266;Lunch!!!! (@ Pax Wholesome Foods - @paxfood in New York, NY) https://t.co/ZVM22W0Atx;true;
pax;668868187069530112;The pre-Thanksgiving diet starts (and ends) today @ Pax Wholesome Foods https://t.co/FeD8sNdUeP;true;
pax;667452061601124352;@Churba @Apreche Should we bring a bunch of CPUs and mobos with us to PAX Aus next year? ;false;
pax;669256353685327873;@Official_PAX I know you're waiting for PAX East, but @loltsundere: this is what it looks like to apply to Join the Ranks. ;false;
azucar;669918928148262913;@rachelplis usa azucar liquida ????????;false;
the up & up;669712334512922624;I'm at The Up & Up - @theupandupnyc in New York, NY https://t.co/KPAlbMMJmb;true;
the up & up;667966888698335232;Keepin' out da #riffraff all night! #meanmuppet is the new #meanmugging @ The Up & Up https://t.co/Rrau9OyIcL;true;
the pomeroy;667836692657754112;My NYC friends. Please do yourself a favor and have a meal @thepomeroynyc The food is 5-star exceptional and the atmosphere is so welcoming.;false;
the pomeroy;669313003687444480;#friedchicken #macandcheese @ The Pomeroy https://t.co/YHnkDWaHNk;true;
the pomeroy;669157577582858240;Have you been to thepomeroynyc in #Astoria yet? If you do, you may spot Lady Gaga since she's friends… https://t.co/aMt8lx8FQR;true;
the pomeroy;668255916551180288;Date night with my main boo thang @KristaBasso #nomenzonetbh @ The Pomeroy https://t.co/8jVnLRGSBX;true;
the mermaid inn;668977106555183105;Oysters on the half shell w/ bae. (@ The Mermaid Inn in New York, NY) https://t.co/NmMBk5THyJ https://t.co/QVtd008dQa;true;
the mermaid inn;668630861106053120;(Hot & Dirty) X 2 @ The Mermaid Inn https://t.co/MqdyWi67Uk;true;
the mermaid inn;668967823234875392;Cousins ?? john3long jennrad22 @ The Mermaid Inn https://t.co/H0OWqiLtZF;true;
the mermaid inn;668130000365744128;The usual Saturday morning @themermaidinn @ The Mermaid Inn https://t.co/JTDwFlpszK;true;
pad thai;669365019847614464;Tonight I ate such good vegan pad thai I just laughed it off when a surprise cockroach crawled onto my plate at the end ???????;false;
pad thai;668525726094725120;Boyfriend material: this guy at Trader Joes that spent twenty minutes searching for the vegan Pad Thai for me;false;
pad thai;669323604065128448;Him picking up pad Thai for dinner tonight?????;false;
pad thai;667466510277980160;Andrew is having me order him chicken pad thai for him while he's driving home and I'm not even there. this feels like treason.;false;
dominique ansel kitchen;668477291857625090;This is disrespectful #Smores #DominiqueAnsel @ Dominique Ansel Kitchen https://t.co/W5px5tnZiF;true;
dominique ansel kitchen;669982388982816768;The prettiest dessert ? apple pie blossom #EEEEEATSgiving @ Dominique Ansel Kitchen https://t.co/aKJkwuda8K;true;
dominique ansel kitchen;668185813138563072;#blueberry laminated #brioche. #dominiqueanselbakery #amazeballs #dessert @ Dominique Ansel Kitchen https://t.co/4Q3Sf71XYA;true;
hunter's;668222723471052800;I'm at Hunter's Point South in Long Island City, NY https://t.co/5Ap6D1vpOo;true;
hunter's;668546696071151616;can't get enough of this view ? • #home #sunset #longislandcity #nyc #vsco @ Hunter's Point South Living https://t.co/4s9547UjVq;true;
hunter's;668844516930138112;Download Hunter's exquisite new book!  https://t.co/9bqKRqKz87;false;
hunter's;668929228985999360;Mayor Bill de Blasio Breaks Ground on Hunter's Point South Phase II #queens #affordablehousing @NYCMayorsOffice https://t.co/CuJheyyLWu;false;
alta;668831048567013377;" Crea La Mas Alta y Mas Grandiosa Visión Posible Para tu Vida. Porque Te Conviertes en lo que Crees… https://t.co/Toui0mrOsE;true;
alta;669997548828946432;Los Peine Pa Fuera del 8 al 11 precios por Whatsapp en Alta @ HYATT Herald Square New York https://t.co/WnlkJhq6iC;true;
alta;670005189961641985;Lebron 12 Indepence Day 7.5-9-9.5-10-10.5 Precio por Whatsapp en Alta @ HYATT Herald Square New York https://t.co/8s2P3YVvuZ;true;
alta;668606702229393409;Ya estamos Patentando las Muletas Jordan en Alta @ 183 Train Station 4 Train https://t.co/hKPqTsRWrp;true;
alta;668866081658789888;Cap Retro 8 Precio por Whatssap en Alta @ Empire State Building 86th floor observatory https://t.co/ipzsBEPMkP;true;
alta;668946236263780352;Cliente lleno de Odio probando su Patineta del Futuro aquí en el Bronx en Alta @ New York City, Bronx https://t.co/avwIbkfwwl;true;
alta;669994491693019136;Puros Peine Pa Fuera en Alta @ Empire State Building https://t.co/865Wo6jsPF;true;
alta;669980018441887744;Consegui a header do RBB em alta qualidade! :D;false;
alta;669904270347657216;@igorgringo vai corta na alta então? kk;false;
alta;669300374721818624;KD Trey 5 Dalenza del 36 al 39 Precio por Whatsapp en Alta @ Harlem – 125th Street (Metro-North station) https://t.co/zlf2y27XeK;true;
spicy shallot;667556081602863108;I always eat at Spicy Shallot but tonight's dinner with ksteez was beautiful;false;
spicy shallot;668269750812811264;Dinner with the Salt Mines crew (@ Spicy Shallot in Elmhurst, NY) https://t.co/oaaf0rzL3s;true;
vero;669129097835057152;@DeveniresVan Buen dia Vero ?;false;
vero;669136369009172480;@DeveniresVan Gracias Vero ?;false;
vero;669015070081490945;Comply is the best dad and Vero is the best uncle??;false;
vero;668498110709149697;@vvero0303 ?Ha ha The President strongly approves. Enjoy my dear Vero and have a lovely relaxing Sunday evening. ???X;false;
vero;668108306083405826;@lucacarboni @IWonderPictures  è un "Dio" felice perchè #bolognaeunaregola #DioEsiste @Biografilm @frankiehinrgmc vero Gesù?;false;
vero;669139986252505088;@vvero0303 Could do with that here Vero on my blank wall that was previously a w;false;
vero;668947229776945152;@MrKlukie vero beach~ & maybe orlando ?;false;
vero;669140629394444288;@vvero0303 Could do with that here Vero on my blank wall that was previously a window with a view of East River. ??? https://t.co/46IkEmzUFi;false;
princess;669386259098378241;being called princess ????????????;false;
