diablo royale;667430253858594819;kitchen fulla nachos // future you fulla nachos?? @ Diablo Royale https://t.co/NOA2yzFx9A;true;
durden;668616954173890561;it only took half a semester but look mom I have friends !!!! @ Durden Bar https://t.co/YDb2BBU2S5;true;
durden;668178863487365120;#H2P #NYC (@ Durden Bar in New York, NY) https://t.co/oDsfmfSl01 https://t.co/Y6QQdYoTNi;true;
durden;667648555146829824;babes?? @ Durden Bar https://t.co/QemautShvO;true;
durden;668637459807358976;Tyler fuckin Durden  https://t.co/UbitE8NWbp;false;
durden;668385076430938112;Some say that Tyler Durden checks for cookies in my computer. Some say I live with a parasitic worm inside my motherboard.;false;
company;668782725327810560;@agileinfoways is a world best custom #mobile #application #development company from #USA India offering services https://t.co/Xzhs1aOSea;false;
company;668478107871870976;#Accounting alert: NYC Entertainment Company is hiring a... | Robert Half Finance & Accounting | #NEWYORK, NY https://t.co/KxLr9bLfev;true;
company;667978141776875520;@dirdim Your company is nearly obsolete with both 3D scanners and VR for the masses being on the horizon. Facebook is in for a billion, etc.;false;
company;667335908106989569;#NewWindsor, NY #Retail #Job: Store Team Leader at Tractor Supply Company https://t.co/kQGxbm1HlI #Jobs #Hiring #CareerArc;true;
company;667770606297968641;For Anyone looking to get sponsored, my company is now looking to sponsor 3-5 talented skaters! @MindOverAction https://t.co/LR4pCYFqha;false;
company;668193390870286337;@Fabio227 @jaysonbuford I'm suggesting that the MTA is a poorly run company with no idea how to satisfy their customers;false;
company;668932000288514051;Music ? good vibes ? great company ?? come through @ New York, New York https://t.co/BEM9xLsPFX;true;
company;667947818028433408;Reunited and it feels sooooo good ??? @ Post Theatre Company https://t.co/Md7EPNGBs0;true;
company;669323090434789376;How to Quit Your Day Job and Start a Paper Goods Company https://t.co/iGZfhIVJMe;true;
company;667906773249081344;Viv is playing Jadakiss at the company meeting...;false;
sugar cafe;669920492359426049;I'm at Sugar Cafe in New York, NY https://t.co/1cYuLr8Kzm;true;
sugar cafe;667995282341240832;Damn, I'm hungry! (@ Sugar Cafe in New York, NY) https://t.co/C85iKVjv0M;true;
sugar cafe;668983167425060865;#Luscious #lips #lusciouslips tiffany_vosbrink @ Milk and Sugar Cafe https://t.co/CM7ATw3yPa;true;
sugar cafe;667764687002542080;Having #lunch with second mom #Zoila at #gma @ Milk and Sugar Cafe https://t.co/tieuCyIZ64;true;
rabbits;667884238801379328;sitting in the parking lot waiting for Amanda to get out of work and I see these fucking rabbits in the window of a pet store going at it;false;
pouring ribbons;668305785378635776;Popcorn infused bourbon?  With playing card?  Called "No Crying in Baseball?"  Oh, ok @ Pouring Ribbons https://t.co/L8qvEdZ5bW;true;
bareburger;668564029250650112;@Bareburger Picked up 2 burgers from UWS store weren't labeled and both over cooked coleslaw had no taste very disappointed;false;
bareburger;669311995418554369;Bareburger @ Bareburger https://t.co/ZdeFbHVScG;true;
bareburger;668506798987476992;My amazingly delicious dinner from the other night bareburgernyc ? @ Bareburger Columbus Circle https://t.co/keWEu5x5VB;true;
bareburger;668322396273819648;Had @Bareburger today for the first time today and it was amazeballllz;false;
bareburger;667895140292370432;I'm at @Bareburger in New York, NY https://t.co/ldy0TeqWg1;true;
bareburger;668202712622891008;The Hudson salad over at #Bareburger is truly everything on a #twodowshay ??? #avocado #duckbacon #friedegg #nomnomnom;false;
bareburger;668161485068230656;Fooooood!! (at @Bareburger in New York, NY) https://t.co/iSPQZReOrZ;true;
bareburger;669696039658631169;I'm at @Bareburger in New York, NY w/ @fibanez84 https://t.co/K0F12iSs0O;true;
bareburger;668563239911821313;This was devoured!!!! ??? Had this beauty at bareburger with my peeps! Vegan and so yum! #vegan… https://t.co/qYiAdxGTnG;true;
bareburger;668982590368522240;so good @ Bareburger LIC - Vernon Blvd https://t.co/lHApfEwhuH;true;
the penrose;668867583744065536;Beer Battered Fish Tacos now on our lunch menu! #thepenrose #newyork #lunch #eeeeats #uppereastside https://t.co/BBNZBTNQcL;false;
the penrose;669762847728148481;Makin friends (@ The Penrose in New York, NY w/ @kbedosky) https://t.co/HAfxLXUUP8;true;
the penrose;669676825321324544;Thanksgiving Eve sister time??????. Photo cred the_real_brian_austin @ The Penrose https://t.co/b5r6YwyONi;true;
the supply house;668183233515900930;I'm at The Supply House in New York, NY w/ @ekwalsh https://t.co/8vYwFAg1Ta;true;
the supply house;669326570163716096;Jammin @ THE SUPPLY HOUSE tonight on NYCs upper E.side! Settin it off at 9:30 jammin till 12...come kick it!!;true;
the supply house;668984357432991744;I'm at The Supply House in New York, NY https://t.co/i7wLBuvwEo;true;
the supply house;669384391978852353;Happy #ThanksGivingEve - here #TDB is starting it off here thesupplyhousenyc #tbc @prohibitionnyc… https://t.co/2Qnr9SpEEZ;true;
meze;668576739086438400;I'm at Agnanti Meze - @sharethis in Astoria, NY https://t.co/gAzB6sW9kf;true;
meze;669652159559049221;#WineWednesdays 1/2 off. Select bottles of wine? #ethosmeze #meze ?#MurrayHill ?#Wine #Tapas #greek… https://t.co/I4PomLR3MM;true;
meze;669647812108357632;#tistheseason #HappyHour 2-7pm ????#Tapas #meze #meditteranean #smallplates #ethosmeze… https://t.co/GBW25EAN6E;true;
meze;669643587018211328;Come enjoy tapas and Meze on #ThanksgivingEve @EthosMezeNY #murrayHill #EthosMeze #KipsBay #TurtleBay;false;
cinco de mayo;669899736300789760;@boxingeye @LukieBoxing yeah same card cinco de mayo and than fight in september;false;
cinco de mayo;668330371105296384;..in May for the weekends of Cinco de Mayo and in September for  Mexican Independence Day." --Oscar;false;
cinco de mayo;668306438264107008;Book the rematch for cinco de Mayo 2016;false;
prospect;667812729067933696;?????? ????? #fall #Brooklyn #NYC #ny #usa #??????????????? @ Prospect Park https://t.co/P2V7PSAD9X;true;
prospect;669527318164021248;Construction on #BLine Brooklyn bound from Prospect Park Station to Kings Highway Station https://t.co/tS33cNooCZ;true;
prospect;668548696242450432;Sun setting on a hashtag-blessed weekend ??????? @ Brooklyn Prospect Park https://t.co/dQiArFawvC;true;
prospect;668944897311965184;Delays on #I278 WB from Kosciuszko Bridge to Prospect Expressway https://t.co/MmCgPZteti;true;
prospect;669973666248159232;Climbing together @ Prospect Park https://t.co/c1b4ITuPSi;true;
prospect;669705611890790400;#prospectpark #brooklyn #tunnel @ Prospect Park https://t.co/2Ss2TeTtfs;true;
prospect;669298513893691392;Got my number for my first 5k!!!! TurkeyTrot prospect heights!!! #girltrek #40daysofgratitude @… https://t.co/iSVh2fL0o5;true;
prospect;667428758828285954;Pathway to #narnia #prospectpark #brooklyn #newyork #fall #davidgoldmanphoto @ Prospect Park https://t.co/FYFqPiUboI;true;
prospect;667826760168243201;#enjoythislife #forcetobereckonedwith #dope #instagood #instadaily #smile @ Prospect Park, New York, Ny https://t.co/a44K7Ax284;true;
prospect;669209897918033921;Last night in Brooklyn #classicman #knickers @ The Grand Prospect Hall https://t.co/cmVz1v0zbb;true;
harlem tavern;668544765202472960;#Gohawks! (@ Harlem Tavern in New York, NY) https://t.co/gtXKXtPSMq;true;
harlem tavern;668146323409887232;Vamos #barca #barcelona victory #elclassico #winners #bestteam @ Harlem Tavern https://t.co/CDnFjFAg4z;true;
harlem tavern;667889932598272000;Celebrating louie2sday birthday! @ Harlem Tavern https://t.co/ALDaQ3yYzO;true;
harlem tavern;667919753680437248;I'm at Harlem Tavern in New York, NY https://t.co/l6J9YpvAKH;true;
dive bar;668500851246370817;Find That Person That Makes Your Heart Skips..  #WeSolid? @ Dive Bar NYC https://t.co/OJPEN6tZGQ;true;
dive bar;667542416619143169;Never underestimate the transformative power a dive bar can have on your demeanor. When you have emotional fleas, lay down with dogs.;false;
dive bar;668564168723849217;Good vibes @ DBL/ Dive Bar Lounge https://t.co/ETIyTtrdEP;true;
dive bar;669153009738326016;The Subway Inn — the Manhattan dive bar that died and came back to life — now has a cool trompe l'oeil mural. https://t.co/JzZWyb1Ep7;false;
dive bar;669401034767409152;At a dive bar in a dress and cardigan #typical;false;
dive bar;667829922916732928;Bit of a #divebar but good fun was had here with @fredd   #dotnyc Beer..... Need beer....  https://t.co/3YoosMGG32;true;
dive bar;668285096177238017;#BillMurray, we're up at #divebar on the #UWS! Come by for beer! @ Dive Bar NYC https://t.co/MTDVvGrk20;true;
dive bar;668173855941332992;cute but pees in dive bar bathrooms https://t.co/070SiRJORJ;false;
dive bar;669760368655380480;Hellz yeah! (@ Dive Bar in New York, NY) https://t.co/jxsw1zlndp https://t.co/9jWDfgYamy;true;
dive bar;669178724550615040;Damn @SlackerRadio you really nailed it with Dive Bar Jukebox radio. https://t.co/zv2cbygcds https://t.co/QAjX3MwRSq;false;
bizarre;669551261080010753;Moore might still be getting "punished" for Ben Watson's big game. Just an assumption. Really bizarre to see the enforcer not play all game.;false;
bizarre;668582881917280257;When I played jojo bizarre adventure on PlayStation in 1998 the last thing I expected was people tweeting about it 20 year later;false;
bizarre;667407806576873473;@Kamitenz and you have a locked account! This is so bizarre haha. How am I not blocked yet;false;
bizarre;669884647103471620;The bizarre spectacle of Trump's candidacy has one word on everyone's mind: 'Fascism.';false;
bizarre;668605786755584000;These gifs are so bizarre and wonderful.  https://t.co/KO2yejMahr;false;
bizarre;669031367410384896;Whether it's about reviews tonight or a bizarre reference to a nearly decade-old story, this is how not to tweet. https://t.co/bY7GqdBEcz;false;
bizarre;667433528343285760;.@fosterbr2013 @TBRBradfordE @WashTimes He fought with the Taliban in 2001 who supported his heroin habit. He exhibited bizarre behavior.;false;
bizarre;667342170123276288;@7BOOMERESIASON think you can mention the Hamonic situation which is really bizarre to me. #isles I CARE ABOUT HOCKEY BOOMER;false;
bizarre;668661404036124673;Cue bizarre apocalypse dreams ...... ?;false;
bizarre;667350342519160832;I'm at Bizarre - @intervenue in Brooklyn, NY, NY https://t.co/jlaOE1CIm5;true;
doughnut plant;668546511635161088;??? #doughnut #coffee @ Doughnut Plant https://t.co/tHhgqePDCv;true;
doughnut plant;669621261404893184;Kicking off the long weekend on a high note ? #doughnutplant @ Doughnut Plant Queens https://t.co/LbFedqrBeM;true;
doughnut plant;668546860982734848;I'm at @DoughnutPlantNy in New York, NY https://t.co/NLyiPHPHnA;true;
doughnut plant;667378602292461569;GIVE ME ALL DONUTS @DoughnutPlantNY @peterpandonuts @doughbrooklyn;false;
doughnut plant;668871482739589120;Got to love @postmates making deliveries for @doughnutplantny . Tried their new Pumpkin Doughnut w/… https://t.co/7bQaQwlofM;true;
doughnut plant;668080081668034560;I'm at @DoughnutPlantNy in Brooklyn, NY w/ @midtowncoffee https://t.co/HCNDiXtjtA;true;
doughnut plant;668087714856570880;@doughnutplantny #blackout doughnut is pure genius. Is there a better way to start the weekend? Hint:… https://t.co/b9MkOTsQXv;true;
doughnut plant;668500751682019328;I'm at @DoughnutPlantNy in New York, NY w/ @hahanella https://t.co/Gy5rC6g3l4;true;
doughnut plant;667458197976965120;#donutplanet #coconutcreamdonut #sogood @ Doughnut Plant https://t.co/cxH7c6uVu7;true;
doughnut plant;668457775660474368;I'm at @DoughnutPlantNy in Brooklyn, NY w/ @50shadesofjrd https://t.co/Lyofqjet2U;true;
monarch;669902328334589953;The view from the @monarchlounge is great @ Monarch https://t.co/Igp8utIV1h;true;
monarch;667984672673038336;Net worth #details #mesh #femmela #krma #ootd #monarch #hotel #midtown #deets #nyc #manhattan… https://t.co/ZhGkt6suOT;true;
monarch;669933456030310404;Cool bathroom sign @monarchlounge @ Monarch https://t.co/fNnODWF7bB;true;
monarch;668625363732418560;I'm at Monarch Rooftop Lounge in New York, NY https://t.co/UmTjtbVkWB;true;
monarch;668335481332084737;Happy Birthday to @jmike_the_joker !!! @ Monarch https://t.co/BuwzN6vH5i;true;
monarch;669908691647340544;The @macys #thanksgivingdayparade @monarchlounge is coming DOWN Sixth Ave in #nyc @ Monarch https://t.co/X9cO7i4bZo;true;
monarch;669914770049470465;#pillsburydoughboy is coming! @macys #thanksgivingdayparade @monarchlounge @ Monarch https://t.co/VUkckJwCrC;true;
monarch;669901853153431552;The view from the @monarchlounge is great @ Monarch https://t.co/XleL8uuei4;true;
monarch;668136338311520256;#czardom ! Wonderful event czardomczars ! @ Monarch https://t.co/zFsK4yitNN;true;
monarch;667970417806692352;Lit (@ Monarch Rooftop Lounge in New York, NY) https://t.co/ps6S2Qhjv3;true;
phebes;669690899081748480;Happy Thanksgiving to all of our Phebes friends! We will be closed tomorrow getting our tryptophan on… https://t.co/LWX9Tgo1KB;true;
phebes;669729874697932800;I'm at @PhebesNyc in New York, NY w/ @cevikberk https://t.co/gio0j8BRWk;true;
phebes;668239341525868544;@PhebesNYC Best decision for game day AND dance parties #whodey #deejayonfleek;false;
phebes;667415721442418688;Love these guys forever. #TBT @ Phebes Tavern https://t.co/7vqM8DmVd8;true;
phebes;668575124690456576;everything in its right place @ Phebes Tavern https://t.co/iHzn6hwqQ7;true;
juliette;667534007891046400;I finally got Juliette to feel the same way I do about foreign affairs...i never been so proud?;false;
juliette;668580557652127744;So now I'm watching Greys... I guess you can say that Juliette can get me to do anything ?? @itsjulietteee;false;
juliette;667944518981931008;@jluisbt creo que te va a gustar, sale Juliette Binoche! ??;false;
juliette;667932921534246912;Bored waiting for food selfie #williamsburg #fridaynight #selfies #takeaway @ Juliette Restaurant https://t.co/qvT7OzIIw5;true;
bago;669521348201435136;Baka may bago na namang TV Commercial.  #ALDUBApproval Gumagaling ang acting chemistry ng magnobyo https://t.co/swRJPE9oDA;false;
bago;668447922825097217;@mainedcm namalikmata lang ba ko sa bago mong tweet pero wala? Hahaha ang tataa, buti nakabisado ko agad woooooo poll u ba ulit?;false;
bago;668307308364042240;@itsmarxyz_13 uu super saya nya hahah baka may kausap lol bago mag dj bae! yung ngiti pati mata luhluhluh #SPSKrismaSaya;false;
bago;669459739093442560;Assert your self. Learn to say no #ALDUBApproval Explain maayos bakit NO, wag kalimutan ang 'TY for that wonderful question, bago magexplain;false;
bago;669542722462699520;@Legian_dary kung hindi ko lang knaasikaso school ko bro uuwi talaga ako. Kaso future muna bago love. ?;false;
bago;667937962533883904;Screenshot ko muna yun bago ako magresponse ?;false;
bago;668204643504267268;Wala sa haba o ikli ng panahon, kapag natagpuan nyo na si 'I New Year the One' yun na yun. Simulan nyo na bago pa maraming kumontra sa inyo.;false;
bago;667517007097634818;@IamAvery_Lynn lol bago yun! natawa naman me sayo! #ALDUBFixedMarriage;false;
bago;669552939338461184;@buernrodriguez may bago na ba akong i-shiship aside from bebeko? ??;false;
bago;669727394811482112;Dear Irog, Bago ang lahat ikaw lang ang luma. Sumulat ako sa iyo dahil may ballpen at papel.  #ALDUB19thWeeksary;false;
