jacob's pickles;1;4;31.6;0.16666666666666666
joe;2;10;29.5;0.043478260869565216
legend;3;7;23.5;0.08333333333333333
stk;4;8;15.5;0.0625
bar nine;4;1;15.5;0.5
starbucks coffee;5;13;14.0;0.013697854757457408
just salad;6;14;13.75;0.005235602094240838
almond;7;3;13.0;0.25
spring;8;9;11.333333333333334;0.05555555555555555
mcdonald's;9;6;11.0;0.09523809523809523
1 oak;10;11;10.0;0.038461538461538464
aurora;11;1;9.5;0.5
juice;12;5;7.0;0.11764705882352941
ben & jerry's;13;15;4.0;0.002631578947368421
joe;14;12;3.0;0.03448275862068965
joe;15;12;2.0;0.03448275862068965
mi garba;15;2;2.0;0.3333333333333333
