Loc: jeromesName: jeromes674881611951939584  :   @ jeromes @link (40.7190208,-73.9856262)19524309
Loc: southern hospitalityName: southern hospitality674898852223295488  :  fried tomatoes with shrimp #amazing @ southern hospitality bbq  hells kitchen @link (40.7605934,-73.9912415)15063852
Loc: southern hospitalityName: southern hospitality674899839386300416  :  sing tia bitch miriammedina96 @ southern hospitality bbq  hells kitchen @link (40.7605934,-73.9912415)15063852
Loc: marqueeName: marquee674901501010124800  :  tia has never looked happier lmao @ marquee new york @link (40.7500871,-74.00255252)15063852
Loc: marqueeName: marquee674903628096892929  :  l @ marquee new york @link (40.7500871,-74.00255252)15063852
Loc: terminal 5Name: terminal 5674904894130757632  :  the arcs such a cool band  #live #danauberbach #terminal5 #wednesdaynight #concert #thearcs @… @link (40.7696991,-73.9927597)36791756
Loc: marqueeName: marquee674905657208922112  :  gangs all here @ marquee new york @link (40.7500871,-74.00255252)15063852
Loc: 1 oakName: 1 oak674906487421067264  :  ended up at 1oak  @ 1 oak nyc @link (40.7439995,-74.0061111)15063852
Loc: 1 oakName: 1 oak674908053389639681  :   @ 1 oak nyc @link (40.7439995,-74.0061111)15063852
Loc: irving plazaName: irving plaza674908685584338944  :  #tbt irvingplaza nyc   @msimpson28 @ irving plaza @link (40.7349586,-73.9884796)256409802
Loc: 1 oakName: 1 oak674911487413104641  :  always clowning around  @ 1 oak nyc @link (40.7439995,-74.0061111)15063852
Loc: bluestone laneName: bluestone lane674929042345353216  :  nothing but a #delicious #hot #mess#cleaneating and premium espresso #bluestonelane #newyork… @link (40.7838326,-73.9582825)1545729600
Loc: hudson terraceName: hudson terrace674933274268073984  :  #tbt msdeannakim #sisters #hudsonterrace #nyc @ hudson terrace @link (40.764061,-73.997551)410275652
Loc: terminal 5Name: terminal 5674934834242830336  :  what a show thearcs sounded great last night @terminal5nyc! @ terminal 5 @link (40.7696991,-73.9927597)23938403
Loc: dominique ansel bakeryName: dominique ansel bakery674935243342786560  :  already a line at the #dominiqueanselbakery #cronuts #goodmorning @link (40.7250593,-74.002839)1077869418
Loc: varietyName: variety674937374871285760  :  im at variety in brooklyn ny @link (40.71542774,-73.94444436)21726729
Loc: hudson clearwaterName: hudson clearwater674946755507716097  :  im at hudson clearwater in new york ny @link (40.73107799,-74.00690228)204763046
Loc: beer authorityName: beer authority674949405733224448  :  in just over 1 week there will be an awakening #starwars #theforceawakens @ beer authority nyc @link (40.7558823,-73.990921)77018051
Loc: slakeName: slake674951451471384579  :  rising signs w @itboygregk @ ?#holymountain this saturday @ slake @link (40.7494812,-73.9942398)193895779
Loc: adoro leiName: adoro lei674953115859316736  :  @923amp radio christmas party @adorolei  @astraontheair @ninaontheair @djnikonyc @mahjestik… @link (40.72562,-74.007935)2317889509
Loc: city centerName: city center674954649363947521  :  kami dah di new york dah ni anda bila @ new york city center @link (40.7639389,-73.9794388)1341279276
Loc: little branchName: little branch674959629294678016  :  #ww #wwbill #californialove #goingwest #5610 @ little branch @link (40.7301216,-74.0050201)20074234
Loc: cafe ghiaName: cafe ghia674959922371665920  :  #navidad #xmas #felicidad @ cafe ghia @link (40.7049713,-73.9253998)21215599
Loc: little branchName: little branch674960855298129921  :  cotton cocktail #firstdrinkofthenight #ww #whiskeywednesday #littlebranch #whiskey @ little branch @link (40.7301216,-74.0050201)20074234
Loc: gotanName: gotan674962383647961088  :  i miss you  @ gotan @link (40.7190971,-74.0067139)566293082
