"diablo royale",6.67430253858595E+17,"kitchen fulla nachos // future you fulla nachos?? @ Diablo Royale https://t.co/NOA2yzFx9A",TRUE,0
durden,6.68616954173891E+17,"it only took half a semester but look mom I have friends !!!! @ Durden Bar https://t.co/YDb2BBU2S5",TRUE,1
durden,6.68178863487365E+17,"#H2P #NYC (@ Durden Bar in New York NY) https://t.co/oDsfmfSl01 https://t.co/Y6QQdYoTNi",TRUE,1
durden,6.6764855514683E+17,"babes?? @ Durden Bar https://t.co/QemautShvO",TRUE,1
durden,6.68637459807359E+17,"Tyler fuckin Durden  https://t.co/UbitE8NWbp",FALSE,0
durden,6.68385076430938E+17,"Some say that Tyler Durden checks for cookies in my computer. Some say I live with a parasitic worm inside my motherboard.",FALSE,0
company,6.68782725327811E+17,"@agileinfoways is a world best custom #mobile #application #development company from #USA India offering services https://t.co/Xzhs1aOSea",FALSE,0
company,6.68478107871871E+17,"#Accounting alert: NYC Entertainment Company is hiring a... | Robert Half Finance & Accounting | #NEWYORK NY https://t.co/KxLr9bLfev",TRUE,0
company,6.67978141776876E+17,"@dirdim Your company is nearly obsolete with both 3D scanners and VR for the masses being on the horizon. Facebook is in for a billion etc.",FALSE,0
company,6.6733590810699E+17,"#NewWindsor NY #Retail #Job: Store Team Leader at Tractor Supply Company https://t.co/kQGxbm1HlI #Jobs #Hiring #CareerArc",TRUE,0
company,6.67770606297969E+17,"For Anyone looking to get sponsored my company is now looking to sponsor 3-5 talented skaters! @MindOverAction https://t.co/LR4pCYFqha",FALSE,0
company,6.68193390870286E+17,"@Fabio227 @jaysonbuford I'm suggesting that the MTA is a poorly run company with no idea how to satisfy their customers",FALSE,0
company,6.68932000288514E+17,"Music ? good vibes ? great company ?? come through @ New York New York https://t.co/BEM9xLsPFX",TRUE,0
company,6.67947818028433E+17,"Reunited and it feels sooooo good ??? @ Post Theatre Company https://t.co/Md7EPNGBs0",TRUE,1
company,6.69323090434789E+17,"How to Quit Your Day Job and Start a Paper Goods Company https://t.co/iGZfhIVJMe",TRUE,0
company,6.67906773249081E+17,"Viv is playing Jadakiss at the company meeting...",FALSE,0
"sugar cafe",6.69920492359426E+17,"I'm at Sugar Cafe in New York NY https://t.co/1cYuLr8Kzm",TRUE,1
"sugar cafe",6.67995282341241E+17,"Damn I'm hungry! (@ Sugar Cafe in New York NY) https://t.co/C85iKVjv0M",TRUE,1
"sugar cafe",6.68983167425061E+17,"#Luscious #lips #lusciouslips tiffany_vosbrink @ Milk and Sugar Cafe https://t.co/CM7ATw3yPa",TRUE,1
"sugar cafe",6.67764687002542E+17,"Having #lunch with second mom #Zoila at #gma @ Milk and Sugar Cafe https://t.co/tieuCyIZ64",TRUE,1
rabbits,6.67884238801379E+17,"sitting in the parking lot waiting for Amanda to get out of work and I see these fucking rabbits in the window of a pet store going at it",FALSE,0
"pouring ribbons",6.68305785378636E+17,"Popcorn infused bourbon?  With playing card?  Called ""No Crying in Baseball?""  Oh ok @ Pouring Ribbons https://t.co/L8qvEdZ5bW",TRUE,1
bareburger,6.6856402925065E+17,"@Bareburger Picked up 2 burgers from UWS store weren't labeled and both over cooked coleslaw had no taste very disappointed",FALSE,1
bareburger,6.69311995418554E+17,"Bareburger @ Bareburger https://t.co/ZdeFbHVScG",TRUE,1
bareburger,6.68506798987477E+17,"My amazingly delicious dinner from the other night bareburgernyc ? @ Bareburger Columbus Circle https://t.co/keWEu5x5VB",TRUE,1
bareburger,6.6832239627382E+17,"Had @Bareburger today for the first time today and it was amazeballllz",FALSE,1
bareburger,6.6789514029237E+17,"I'm at @Bareburger in New York NY https://t.co/ldy0TeqWg1",TRUE,1
bareburger,6.68202712622891E+17,"The Hudson salad over at #Bareburger is truly everything on a #twodowshay ??? #avocado #duckbacon #friedegg #nomnomnom",FALSE,1
bareburger,6.68161485068231E+17,"Fooooood!! (at @Bareburger in New York NY) https://t.co/iSPQZReOrZ",TRUE,1
bareburger,6.69696039658631E+17,"I'm at @Bareburger in New York NY w/ @fibanez84 https://t.co/K0F12iSs0O",TRUE,1
bareburger,6.68563239911821E+17,"This was devoured!!!! ??? Had this beauty at bareburger with my peeps! Vegan and so yum! #vegan… https://t.co/qYiAdxGTnG",TRUE,1
bareburger,6.68982590368522E+17,"so good @ Bareburger LIC - Vernon Blvd https://t.co/lHApfEwhuH",TRUE,1
"the penrose",6.68867583744066E+17,"Beer Battered Fish Tacos now on our lunch menu! #thepenrose #newyork #lunch #eeeeats #uppereastside https://t.co/BBNZBTNQcL",FALSE,0
"the penrose",6.69762847728148E+17,"Makin friends (@ The Penrose in New York NY w/ @kbedosky) https://t.co/HAfxLXUUP8",TRUE,1
"the penrose",6.69676825321325E+17,"Thanksgiving Eve sister time??????. Photo cred the_real_brian_austin @ The Penrose https://t.co/b5r6YwyONi",TRUE,1
"the supply house",6.68183233515901E+17,"I'm at The Supply House in New York NY w/ @ekwalsh https://t.co/8vYwFAg1Ta",TRUE,1
"the supply house",6.69326570163716E+17,"Jammin @ THE SUPPLY HOUSE tonight on NYCs upper E.side! Settin it off at 9:30 jammin till 12...come kick it!!",TRUE,0
"the supply house",6.68984357432992E+17,"I'm at The Supply House in New York NY https://t.co/i7wLBuvwEo",TRUE,1
"the supply house",6.69384391978852E+17,"Happy #ThanksGivingEve - here #TDB is starting it off here thesupplyhousenyc #tbc @prohibitionnyc… https://t.co/2Qnr9SpEEZ",TRUE,0
meze,6.68576739086438E+17,"I'm at Agnanti Meze - @sharethis in Astoria NY https://t.co/gAzB6sW9kf",TRUE,1
meze,6.69652159559049E+17,"#WineWednesdays 1/2 off. Select bottles of wine? #ethosmeze #meze ?#MurrayHill ?#Wine #Tapas #greek… https://t.co/I4PomLR3MM",TRUE,0
meze,6.69647812108358E+17,"#tistheseason #HappyHour 2-7pm ????#Tapas #meze #meditteranean #smallplates #ethosmeze… https://t.co/GBW25EAN6E",TRUE,0
meze,6.69643587018211E+17,"Come enjoy tapas and Meze on #ThanksgivingEve @EthosMezeNY #murrayHill #EthosMeze #KipsBay #TurtleBay",FALSE,0
"cinco de mayo",6.6989973630079E+17,"@boxingeye @LukieBoxing yeah same card cinco de mayo and than fight in september",FALSE,0
"cinco de mayo",6.68330371105296E+17,"..in May for the weekends of Cinco de Mayo and in September for  Mexican Independence Day."" --Oscar",FALSE,0
"cinco de mayo",6.68306438264107E+17,"Book the rematch for cinco de Mayo 2016",FALSE,0
prospect,6.67812729067934E+17,"?????? ????? #fall #Brooklyn #NYC #ny #usa #??????????????? @ Prospect Park https://t.co/P2V7PSAD9X",TRUE,0
prospect,6.69527318164021E+17,"Construction on #BLine Brooklyn bound from Prospect Park Station to Kings Highway Station https://t.co/tS33cNooCZ",TRUE,0
prospect,6.6854869624245E+17,"Sun setting on a hashtag-blessed weekend ??????? @ Brooklyn Prospect Park https://t.co/dQiArFawvC",TRUE,0
prospect,6.68944897311965E+17,"Delays on #I278 WB from Kosciuszko Bridge to Prospect Expressway https://t.co/MmCgPZteti",TRUE,0
prospect,6.69973666248159E+17,"Climbing together @ Prospect Park https://t.co/c1b4ITuPSi",TRUE,0
prospect,6.6970561189079E+17,"#prospectpark #brooklyn #tunnel @ Prospect Park https://t.co/2Ss2TeTtfs",TRUE,0
prospect,6.69298513893691E+17,"Got my number for my first 5k!!!! TurkeyTrot prospect heights!!! #girltrek #40daysofgratitude @… https://t.co/iSVh2fL0o5",TRUE,0
prospect,6.67428758828286E+17,"Pathway to #narnia #prospectpark #brooklyn #newyork #fall #davidgoldmanphoto @ Prospect Park https://t.co/FYFqPiUboI",TRUE,0
prospect,6.67826760168243E+17,"#enjoythislife #forcetobereckonedwith #dope #instagood #instadaily #smile @ Prospect Park New York Ny https://t.co/a44K7Ax284",TRUE,0
prospect,6.69209897918034E+17,"Last night in Brooklyn #classicman #knickers @ The Grand Prospect Hall https://t.co/cmVz1v0zbb",TRUE,0
"harlem tavern",6.68544765202473E+17,"#Gohawks! (@ Harlem Tavern in New York NY) https://t.co/gtXKXtPSMq",TRUE,1
"harlem tavern",6.68146323409887E+17,"Vamos #barca #barcelona victory #elclassico #winners #bestteam @ Harlem Tavern https://t.co/CDnFjFAg4z",TRUE,1
"harlem tavern",6.6789E+21,"Celebrating louie2sday birthday! @ Harlem Tavern https://t.co/ALDaQ3yYzO",TRUE,1
"harlem tavern",6.67919753680437E+17,"I'm at Harlem Tavern in New York NY https://t.co/l6J9YpvAKH",TRUE,1
"dive bar",6.68500851246371E+17,"Find That Person That Makes Your Heart Skips..  #WeSolid? @ Dive Bar NYC https://t.co/OJPEN6tZGQ",TRUE,1
"dive bar",6.67542416619143E+17,"Never underestimate the transformative power a dive bar can have on your demeanor. When you have emotional fleas lay down with dogs.",FALSE,0
"dive bar",6.68564168723849E+17,"Good vibes @ DBL/ Dive Bar Lounge https://t.co/ETIyTtrdEP",TRUE,1
"dive bar",6.69153009738326E+17,"The Subway Inn — the Manhattan dive bar that died and came back to life — now has a cool trompe l'oeil mural. https://t.co/JzZWyb1Ep7",FALSE,0
"dive bar",6.69401034767409E+17,"At a dive bar in a dress and cardigan #typical",FALSE,0
"dive bar",6.67829922916733E+17,"Bit of a #divebar but good fun was had here with @fredd   #dotnyc Beer..... Need beer....  https://t.co/3YoosMGG32",TRUE,0
"dive bar",6.68285096177238E+17,"#BillMurray we're up at #divebar on the #UWS! Come by for beer! @ Dive Bar NYC https://t.co/MTDVvGrk20",TRUE,1
"dive bar",6.68173855941333E+17,"cute but pees in dive bar bathrooms https://t.co/070SiRJORJ",FALSE,1
"dive bar",6.6976036865538E+17,"Hellz yeah! (@ Dive Bar in New York NY) https://t.co/jxsw1zlndp https://t.co/9jWDfgYamy",TRUE,1
"dive bar",6.69178724550615E+17,"Damn @SlackerRadio you really nailed it with Dive Bar Jukebox radio. https://t.co/zv2cbygcds https://t.co/QAjX3MwRSq",FALSE,0
bizarre,6.69551261080011E+17,"Moore might still be getting ""punished"" for Ben Watson's big game. Just an assumption. Really bizarre to see the enforcer not play all game.",FALSE,0
bizarre,6.6858288191728E+17,"When I played jojo bizarre adventure on PlayStation in 1998 the last thing I expected was people tweeting about it 20 year later",FALSE,0
bizarre,6.67407806576873E+17,"@Kamitenz and you have a locked account! This is so bizarre haha. How am I not blocked yet",FALSE,0
bizarre,6.69884647103472E+17,"The bizarre spectacle of Trump's candidacy has one word on everyone's mind: 'Fascism.'",FALSE,0
bizarre,6.68606E+22,"These gifs are so bizarre and wonderful.  https://t.co/KO2yejMahr",FALSE,0
bizarre,6.69031367410385E+17,"Whether it's about reviews tonight or a bizarre reference to a nearly decade-old story this is how not to tweet. https://t.co/bY7GqdBEcz",FALSE,0
bizarre,6.67433528343286E+17,".@fosterbr2013 @TBRBradfordE @WashTimes He fought with the Taliban in 2001 who supported his heroin habit. He exhibited bizarre behavior.",FALSE,0
bizarre,6.67342170123276E+17,"@7BOOMERESIASON think you can mention the Hamonic situation which is really bizarre to me. #isles I CARE ABOUT HOCKEY BOOMER",FALSE,0
